step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_357187_359543_stopped,GS_cluster_357187_359543_accumulated_waiting_time,GS_cluster_357187_359543_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
25200.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
25205.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
25210.0,0,0.0,0.0,5.444658578583039,0,0.0,0.5207633143900825,0,0.0
25215.0,0,0.0,0.0,11.622817634388149,0,0.0,0.3411858284837806,0,0.0
25220.0,0,0.0,0.0,9.871969764704241,0,0.0,0.1043467323023535,0,0.0
25225.0,1,0.0,0.0,10.543803806932136,1,0.0,0.5362578704927901,1,0.0
25230.0,0,0.0,0.0,10.746676643914745,0,0.0,0.8544394178339051,0,0.0
25235.0,0,0.0,0.0,11.117553520494413,0,0.0,0.7567928039735167,0,0.0
25240.0,0,0.0,0.0,11.182841628197162,0,0.0,0.9341695520018051,0,0.0
25245.0,0,0.0,0.0,10.706039446681368,0,0.0,0.7545009655196593,0,0.0
25250.0,0,0.0,0.0,10.36487430903629,0,0.0,0.7015648427097418,0,0.0
25255.0,0,0.0,0.0,9.55571837802958,0,0.0,0.4759212973639608,0,0.0
25260.0,1,2.0,0.18181818181818182,8.615717953363195,1,2.0,0.37444199567660275,1,2.0
25265.0,0,0.0,0.0,5.803420281261383,0,2.0,0.349898590595213,0,2.0
25270.0,1,3.0,0.23076923076923078,8.120546111818907,1,3.0,0.2735801395247663,1,3.0
25275.0,0,0.0,0.0,9.347420308629015,0,0.0,0.3599423189654244,0,0.0
25280.0,4,10.0,0.7692307692307693,5.731905509527176,4,10.0,0.3111981185936326,4,10.0
25285.0,3,2.0,0.11764705882352941,6.3149855238555945,2,10.0,0.4528012431468866,2,10.0
25290.0,1,0.0,0.0,10.602606476632232,1,1.0,0.6694755046394746,1,1.0
25295.0,2,2.0,0.10526315789473684,10.308643845039798,2,3.0,0.565841090459605,2,3.0
25300.0,4,14.0,0.7368421052631579,8.167201728436481,4,15.0,0.533416179030501,4,15.0
25305.0,2,1.0,0.043478260869565216,7.61389671750162,2,6.0,0.5193750810584845,2,6.0
25310.0,5,12.0,0.4444444444444444,9.174748934382457,5,13.0,0.5230685818800997,5,13.0
25315.0,1,0.0,0.0,8.954412106978905,1,7.0,0.5242311545259931,1,7.0
25320.0,3,7.0,0.30434782608695654,10.257029727848035,3,8.0,0.5639170605723937,3,8.0
25325.0,1,0.0,0.0,9.403104867143844,0,3.0,0.5234116756692058,0,3.0
