step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_357187_359543_stopped,GS_cluster_357187_359543_accumulated_waiting_time,GS_cluster_357187_359543_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
25200.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
25205.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
25210.0,0,0.0,0.0,5.187127028056421,0,0.0,0.5398764212174333,0,0.0
25215.0,0,0.0,0.0,10.770521549423089,0,0.0,0.3828105012430094,0,0.0
25220.0,0,0.0,0.0,9.472384870578871,0,0.0,0.14131677794912362,0,0.0
25225.0,0,0.0,0.0,9.299290837806309,0,0.0,0.4710868760011916,0,0.0
25230.0,0,0.0,0.0,10.026661981712534,0,0.0,0.8869002035516772,0,0.0
25235.0,0,0.0,0.0,10.8706822453721,0,0.0,0.6523651086115017,0,0.0
25240.0,0,0.0,0.0,10.467761001123803,0,0.0,0.9123620813484254,0,0.0
25245.0,0,0.0,0.0,10.986965945782686,0,0.0,0.7410239559359687,0,0.0
25250.0,0,0.0,0.0,10.235657752521664,0,0.0,0.6368027242873899,0,0.0
25255.0,3,8.0,0.8,5.138129596767526,3,8.0,0.32381304826364965,3,8.0
25260.0,5,26.0,2.1666666666666665,4.29607771000637,5,26.0,0.23998980627180433,5,26.0
25265.0,7,55.0,3.9285714285714284,3.0693769066615926,7,55.0,0.10955137511637193,7,55.0
25270.0,8,63.0,3.9375,2.529592281431585,8,78.0,0.12822061126004541,8,78.0
25275.0,10,105.0,5.526315789473684,4.0014527798060735,10,105.0,0.1503530788674628,10,105.0
25280.0,13,157.0,7.476190476190476,3.3157391515657664,13,157.0,0.16699260052434067,13,157.0
25285.0,15,220.0,8.8,3.0872249526716335,14,220.0,0.21423741811339705,14,220.0
25290.0,17,294.0,10.5,3.5596968372747777,17,294.0,0.2306087901180382,17,294.0
25295.0,19,375.0,11.71875,3.650163645641098,19,376.0,0.2493268691838618,19,376.0
25300.0,22,473.0,13.13888888888889,3.8126065485471394,22,474.0,0.24535197905037903,22,474.0
25305.0,24,584.0,15.368421052631579,3.739366909788539,24,585.0,0.2403499524627769,24,585.0
25310.0,19,393.0,9.13953488372093,4.2831540783124025,19,577.0,0.21228924078657088,19,577.0
25315.0,14,140.0,3.255813953488372,5.538088229996702,14,390.0,0.2629564268847435,14,390.0
25320.0,9,53.0,1.325,6.963197454468042,9,298.0,0.32945314460685377,9,298.0
25325.0,7,47.0,1.3055555555555556,7.730116944552241,6,175.0,0.3487267331933496,6,175.0
